domain,mode,operation,time_scope_type,time_scope_value
files,info,latest,relative,today_afternoon
files,info,latest,relative,today_evening
files,info,latest,relative,tomorrow_morning
files,info,latest,relative,7d
files,info,latest,relative,30d
files,info,latest,relative,3m
files,info,latest,relative,1y
files,info,latest,absolute,today
files,info,latest,absolute,today_morning
files,info,latest,absolute,today_day
files,info,latest,absolute,today_afternoon
files,info,latest,absolute,today_evening
files,info,latest,absolute,tomorrow_morning
files,info,latest,absolute,7d
files,info,latest,absolute,30d
files,info,latest,absolute,3m
files,info,latest,absolute,1y
files,info,latest,all,today
files,info,latest,all,today_morning
files,info,latest,all,today_day
files,info,latest,all,today_afternoon
files,info,latest,all,today_evening
files,info,latest,all,tomorrow_morning
files,info,latest,all,7d
files,info,latest,all,30d
files,info,latest,all,3m
files,info,latest,all,1y
photos,info,count,relative,today
photos,info,count,relative,today_morning
photos,info,count,relative,today_day
photos,info,count,relative,today_afternoon
photos,info,count,relative,today_evening
photos,info,count,relative,tomorrow_morning
photos,info,count,relative,7d
photos,info,count,relative,30d
photos,info,count,relative,3m
photos,info,count,relative,1y
photos,info,count,absolute,today
photos,info,count,absolute,today_morning
photos,info,count,absolute,today_day
photos,info,count,absolute,today_afternoon
photos,info,count,absolute,today_evening
photos,info,count,absolute,tomorrow_morning
photos,info,count,absolute,7d
photos,info,count,absolute,30d
photos,info,count,absolute,3m
photos,info,count,absolute,1y
photos,info,count,all,today
photos,info,count,all,today_morning
photos,info,count,all,today_day
photos,info,count,all,today_afternoon
photos,info,count,all,today_evening
photos,info,count,all,tomorrow_morning
photos,info,count,all,7d
photos,info,count,all,30d
photos,info,count,all,3m
photos,info,count,all,1y
photos,info,list,relative,today
photos,info,list,relative,today_morning
photos,info,list,relative,today_day
photos,info,list,relative,today_afternoon
photos,info,list,relative,today_evening
photos,info,list,relative,tomorrow_morning
photos,info,list,relative,7d
photos,info,list,relative,30d
photos,info,list,relative,3m
photos,info,list,relative,1y
photos,info,list,absolute,today
photos,info,list,absolute,today_morning
photos,info,list,absolute,today_day
photos,info,list,absolute,today_afternoon
photos,info,list,absolute,today_evening
photos,info,list,absolute,tomorrow_morning
photos,info,list,absolute,7d
photos,info,list,absolute,30d
photos,info,list,absolute,3m
photos,info,list,absolute,1y
photos,info,list,all,today
photos,info,list,all,today_morning
photos,info,list,all,today_day
photos,info,list,all,today_afternoon
photos,info,list,all,today_evening
photos,info,list,all,tomorrow_morning
photos,info,list,all,7d
photos,info,list,all,30d
photos,info,list,all,3m
photos,info,list,all,1y
photos,info,exists,relative,today
photos,info,exists,relative,today_morning
photos,info,exists,relative,today_day
photos,info,exists,relative,today_afternoon
photos,info,exists,relative,today_evening
photos,info,exists,relative,tomorrow_morning
photos,info,exists,relative,7d
photos,info,exists,relative,30d
photos,info,exists,relative,3m
photos,info,exists,relative,1y
photos,info,exists,absolute,today
photos,info,exists,absolute,today_morning
photos,info,exists,absolute,today_day
photos,info,exists,absolute,today_afternoon
photos,info,exists,absolute,today_evening
photos,info,exists,absolute,tomorrow_morning
photos,info,exists,absolute,7d
photos,info,exists,absolute,30d
photos,info,exists,absolute,3m
photos,info,exists,absolute,1y
photos,info,exists,all,today
photos,info,exists,all,today_morning
photos,info,exists,all,today_day
photos,info,exists,all,today_afternoon
photos,info,exists,all,today_evening
photos,info,exists,all,tomorrow_morning
photos,info,exists,all,7d
photos,info,exists,all,30d
photos,info,exists,all,3m
photos,info,exists,all,1y
photos,info,sum,relative,today
photos,info,sum,relative,today_morning
photos,info,sum,relative,today_day
photos,info,sum,relative,today_afternoon
photos,info,sum,relative,today_evening
photos,info,sum,relative,tomorrow_morning
photos,info,sum,relative,7d
photos,info,sum,relative,30d
photos,info,sum,relative,3m
photos,info,sum,relative,1y
photos,info,sum,absolute,today
photos,info,sum,absolute,today_morning
photos,info,sum,absolute,today_day
photos,info,sum,absolute,today_afternoon
photos,info,sum,absolute,today_evening
photos,info,sum,absolute,tomorrow_morning
photos,info,sum,absolute,7d
photos,info,sum,absolute,30d
photos,info,sum,absolute,3m
photos,info,sum,absolute,1y
photos,info,sum,all,today
photos,info,sum,all,today_morning
photos,info,sum,all,today_day
photos,info,sum,all,today_afternoon
photos,info,sum,all,today_evening
photos,info,sum,all,tomorrow_morning
photos,info,sum,all,7d
photos,info,sum,all,30d
photos,info,sum,all,3m
photos,info,sum,all,1y
photos,info,latest,relative,today
photos,info,latest,relative,today_morning
photos,info,latest,relative,today_day
photos,info,latest,relative,today_afternoon
photos,info,latest,relative,today_evening
photos,info,latest,relative,tomorrow_morning
photos,info,latest,relative,7d
photos,info,latest,relative,30d
photos,info,latest,relative,3m
photos,info,latest,relative,1y
photos,info,latest,absolute,today
photos,info,latest,absolute,today_morning
photos,info,latest,absolute,today_day
photos,info,latest,absolute,today_afternoon
photos,info,latest,absolute,today_evening
photos,info,latest,absolute,tomorrow_morning
photos,info,latest,absolute,7d
photos,info,latest,absolute,30d
photos,info,latest,absolute,3m
photos,info,latest,absolute,1y
photos,info,latest,all,today
photos,info,latest,all,today_morning
photos,info,latest,all,today_day
photos,info,latest,all,today_afternoon
photos,info,latest,all,today_evening
photos,info,latest,all,tomorrow_morning
photos,info,latest,all,7d
photos,info,latest,all,30d
photos,info,latest,all,3m
photos,info,latest,all,1y
contacts,info,count,relative,today
contacts,info,count,relative,today_morning
contacts,info,count,relative,today_day
contacts,info,count,relative,today_afternoon
contacts,info,count,relative,today_evening
